brand,model,year,price,mileage,fuel_type,transmission
Kia,Rio,2020,8501,289944,Diesel,Manual
Chevrolet,Malibu,2012,12092,5356,Hybrid,Automatic
Mercedes,GLA,2020,11171,231440,Diesel,Automatic
Audi,Q5,2023,11780,160971,Electric,Manual
Toyota,Camry,2007,7242,157889,Petrol,Automatic
Honda,Civic,2010,11208,139584,Electric,Automatic
Kia,Sportage,2001,7950,157495,Electric,Semi-Automatic
Kia,Sportage,2014,9926,98700,Hybrid,Manual
Toyota,RAV4,2005,6545,107724,Petrol,Manual
BMW,5 Series,2013,5863,296824,Hybrid,Automatic
Volkswagen,Golf,2009,11444,42795,Hybrid,Manual
Honda,CR-V,2007,10842,132875,Hybrid,Automatic
Volkswagen,Golf,2003,5981,145921,Petrol,Automatic
Volkswagen,Golf,2007,9697,60103,Diesel,Automatic
Hyundai,Elantra,2017,14837,38133,Electric,Automatic
Volkswagen,Tiguan,2006,11576,41161,Electric,Manual
Mercedes,GLA,2021,11207,34640,Petrol,Manual
Chevrolet,Equinox,2018,13374,21261,Hybrid,Automatic
Toyota,RAV4,2000,8863,41814,Hybrid,Semi-Automatic
Toyota,RAV4,2003,6266,136662,Electric,Manual
Ford,Explorer,2006,7701,99921,Hybrid,Manual
Mercedes,GLA,2016,12402,19868,Petrol,Semi-Automatic
Kia,Sportage,2011,8856,92188,Diesel,Automatic
Audi,A3,2022,14413,79350,Electric,Manual
BMW,3 Series,2017,10645,142701,Electric,Semi-Automatic
BMW,3 Series,2020,12584,210767,Electric,Semi-Automatic
Chevrolet,Equinox,2013,9963,121816,Hybrid,Automatic
Hyundai,Tucson,2007,9327,213643,Electric,Automatic
Volkswagen,Passat,2008,10232,88381,Electric,Manual
Chevrolet,Impala,2017,9327,183619,Petrol,Automatic
Mercedes,GLA,2013,11696,80184,Electric,Semi-Automatic
Toyota,Corolla,2010,9150,132454,Diesel,Automatic
Kia,Optima,2005,9728,18590,Petrol,Manual
Audi,Q5,2013,7231,263411,Hybrid,Semi-Automatic
Ford,Fiesta,2017,6852,277363,Hybrid,Manual
Ford,Focus,2004,6627,93645,Electric,Manual
BMW,5 Series,2007,8690,120491,Petrol,Manual
Honda,Civic,2000,7879,56020,Hybrid,Manual
Toyota,RAV4,2003,9762,131868,Electric,Automatic
Audi,Q5,2023,11833,238306,Electric,Manual
Ford,Focus,2011,6092,255372,Diesel,Automatic
Hyundai,Elantra,2006,8494,110280,Electric,Manual
Audi,A3,2009,9271,111448,Electric,Automatic
Mercedes,GLA,2013,5799,205005,Petrol,Manual
Mercedes,E-Class,2004,6694,175273,Petrol,Semi-Automatic
Mercedes,GLA,2022,10670,191466,Diesel,Manual
Honda,Civic,2015,11864,66777,Electric,Semi-Automatic
Kia,Optima,2020,13538,88070,Electric,Manual
BMW,3 Series,2011,6679,281020,Electric,Semi-Automatic
Chevrolet,Impala,2017,10556,22175,Diesel,Semi-Automatic
Hyundai,Sonata,2007,11241,102907,Electric,Automatic
Honda,Civic,2005,8293,60316,Petrol,Automatic
Toyota,Camry,2008,5538,188097,Petrol,Automatic
Ford,Fiesta,2004,9093,85348,Diesel,Automatic
Ford,Focus,2015,14887,100603,Electric,Automatic
Mercedes,C-Class,2007,6953,147310,Hybrid,Manual
